scenario,value,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c5_viol,p_c6_viol,p_c7_m1_viol,p_c7_m2_viol,episodes,warmup_ratio,seed
load_scale,0.5,15,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,300,0.3,1
load_scale,1.0,15,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,0.4,0.4,300,0.3,1
load_scale,1.5,15,1.5,1.0,1.0,1.0,1.0,0.7333333333333333,0.6,0.4666666666666667,300,0.3,1
load_scale,2.0,15,2.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.8,0.7333333333333333,300,0.3,1
f_scale,0.4,15,1.0,1.0,0.4,1.0,1.0,0.6666666666666666,0.6,0.5333333333333333,300,0.3,1
f_scale,0.6,15,1.0,1.0,0.6,1.0,1.0,0.6666666666666666,0.4666666666666667,0.4666666666666667,300,0.3,1
f_scale,0.8,15,1.0,1.0,0.8,1.0,1.0,0.6,0.4,0.4,300,0.3,1
f_scale,1.0,15,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,0.4,0.4,300,0.3,1
f_scale,1.2,15,1.0,1.0,1.2,1.0,1.0,0.4666666666666667,0.4,0.4,300,0.3,1
f_scale,1.4,15,1.0,1.0,1.4,1.0,1.0,0.5333333333333333,0.4,0.4,300,0.3,1
user_num,5,5,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.4,300,0.3,1
user_num,10,10,1.0,1.0,1.0,1.0,1.0,0.5,0.4,0.3,300,0.3,1
user_num,15,15,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,0.4,0.4,300,0.3,1
user_num,20,20,1.0,1.0,1.0,1.0,1.0,0.7,0.65,0.45,300,0.3,1
user_num,25,25,1.0,1.0,1.0,1.0,1.0,0.72,0.68,0.6,300,0.3,1
user_num,30,30,1.0,1.0,1.0,1.0,1.0,0.7,0.6,0.5,300,0.3,1
user_num,35,35,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.5714285714285714,0.5142857142857142,300,0.3,1
user_num,40,40,1.0,1.0,1.0,1.0,1.0,0.7,0.55,0.45,300,0.3,1
